City,Population
"Jonesboro, AR, United States",73907
"Juárez, Mexico",1321004
"Juchitán de Zaragoza, Mexico",74825
"Jupiter, FL, United States",62707
"Kalamazoo, MI, United States",76041
"Kamloops, BC, Canada",68714
"Kanasín, Mexico",77240
"Kanata, ON, Canada",90000
"Kansas City, KS, United States",151306
"Kansas City, MO, United States",475378
"Kelowna, BC, Canada",125109
"Kendall, FL, United States",75371
"Kenner, LA, United States",67091
"Kennewick, WA, United States",78896
"Kenosha, WI, United States",99858
"Kent, WA, United States",126952
"Killeen, TX, United States",140806
"Kings Bridge, NY, United States",75132
"Kingston, ON, Canada",114195
"Kingwood Area, TX, United States",81692
"Kirkland, WA, United States",87281
"Kissimmee, FL, United States",69152
"Kitchener, ON, Canada",233700
"Knoxville, TN, United States",185291
"La Habra, CA, United States",62131
"La Mesa, CA, United States",60089
"La Paz, Mexico",215178
"La Piedad, Mexico",83323
"Ladner, BC, Canada",200000
"Lafayette, IN, United States",71111
"Lafayette, LA, United States",127657
"Lagos de Moreno, Mexico",98206
"Laguna Niguel, CA, United States",65806
"Lake Charles, LA, United States",76070
"Lake Elsinore, CA, United States",61981
"Lake Forest, CA, United States",82492
"Lakeland, FL, United States",104401
"Lakeville, MN, United States",60633
"Lakewood, CA, United States",81611
"Lakewood, CO, United States",152597
"Lakewood, WA, United States",59829
"Lancaster, CA, United States",161103
"Lancaster, PA, United States",59339
"Lansing, MI, United States",115056
"Laredo, TX, United States",255473
"Largo, FL, United States",81000
"Las Cruces, NM, United States",101643
"Las Vegas, NV, United States",623747
"Lauderhill, FL, United States",71579
"Laval, QC, Canada",376845
"Lawrence, KS, United States",93917
"Lawrence, MA, United States",80231
"Lawton, OK, United States",96655
"Layton, UT, United States",74143
"Lévis, QC, Canada",126396
"League City, TX, United States",98312
"León de los Aldama, Mexico",1238962
"Lee's Summit, MO, United States",95094
"Lehigh Acres, FL, United States",86784
"Lethbridge, AB, Canada",70617
"Lewisville, TX, United States",104039
"Lexington, KY, United States",225366
"Lexington-Fayette, KY, United States",314488
"Linares, Mexico",63104
"Lincoln, NE, United States",277348
"Little Rock, AR, United States",197992
"Livermore, CA, United States",88126
"Livonia, MI, United States",94635
"Lodi, CA, United States",64596
"London, ON, Canada",346765
"Long Beach, CA, United States",474140
"Longmont, CO, United States",92088
"Longueuil, QC, Canada",229330
"Longview, TX, United States",82287
"Lorain, OH, United States",63647
"Los Angeles, CA, United States",3971883
"Los Mochis, Mexico",256613
"Los Reyes Acaquilpan, Mexico",85359
"Louisville, KY, United States",243639
"Loveland, CO, United States",75182
"Lowell, MA, United States",110699
"Lubbock, TX, United States",249042
"Lynchburg, VA, United States",79812
"Lynn, MA, United States",92457
"Lynwood, CA, United States",71989
"Macon, GA, United States",91351
"Madera, CA, United States",64208
"Madison, WI, United States",248951
"Magdalena Contreras, Mexico",238431
"Malden, MA, United States",61068
"Manchester, NH, United States",110229
"Manhattan, NY, United States",1487536
"Mansfield, TX, United States",64274
"Manteca, CA, United States",75448
"Manzanillo, Mexico",130035
"Maple Grove, MN, United States",68385
"Maple Ridge, BC, Canada",70000
"Markham, ON, Canada",261573
"Martínez de la Torre, Mexico",60074
"Marysville, WA, United States",66773
"Maryvale, AZ, United States",208189
"Matehuala, Mexico",77328
"Mazatlán, Mexico",381583
"Mérida, Mexico",777615
"McAllen, TX, United States",140269
"McKinney, TX, United States",162898
"Meads, KY, United States",288649
"Medford, OR, United States",79805
"Medicine Hat, AB, Canada",63138
"Melbourne, FL, United States",80127
"Memphis, TN, United States",655770
"Menifee, CA, United States",87174
"Merced, CA, United States",82436
"Meriden, CT, United States",59988
"Meridian, ID, United States",90739
"Mesa, AZ, United States",471825
"Mesquite, TX, United States",144788
"Metairie Terrace, LA, United States",142489
"Metairie, LA, United States",138481
"Mexicali, Mexico",689775
"Mexico City, Mexico",12294193
"Miami Beach, FL, United States",92312
"Miami Gardens, FL, United States",113187
"Miami, FL, United States",441003
"Middletown, NJ, United States",65490
"Midland, TX, United States",132950
"Miguel Hidalgo, Mexico",372889
"Millcreek, UT, United States",62139
"Milpitas, CA, United States",77604
"Milton, ON, Canada",101715
"Milwaukee, WI, United States",600155
"Minatitlán, Mexico",112046
"Minneapolis, MN, United States",410939
"Miramar, FL, United States",137132
"Miramar, Mexico",118614
"Mission Viejo, CA, United States",97156
"Mission, TX, United States",83298
"Mississauga, ON, Canada",668549
"Missoula, MT, United States",71022
"Missouri City, TX, United States",74139
"Mobile, AL, United States",194288
"Modesto, CA, United States",211266
"Monclova, Mexico",215271
"Moncton, NB, Canada",108620
"Montebello, CA, United States",63921
"Monterey Park, CA, United States",61468
"Monterrey, Mexico",1135512
"Montgomery, AL, United States",200602
"Montréal, QC, Canada",1600000
"Moore, OK, United States",60451
"Morelia, Mexico",597511
"Moreno Valley, CA, United States",204198
"Mount Pleasant, SC, United States",81317
"Mount Vernon, NY, United States",68628
"Mountain View, CA, United States",80435
"Muncie, IN, United States",70087
"Murfreesboro, TN, United States",126118
"Murrieta, CA, United States",109830
"Nampa, ID, United States",89839
"Nanaimo, BC, Canada",84905
"Napa, CA, United States",80434
"Naperville, IL, United States",147100
"Nashua, NH, United States",87970
"Nashville, TN, United States",530852
"National City, CA, United States",61060
"Naucalpan de Juárez, Mexico",792211
"Navojoa, Mexico",113836
"Nepean, ON, Canada",180000
"New Bedford, MA, United States",94958
"New Braunfels, TX, United States",70543
"New Britain, CT, United States",72808
"New Haven, CT, United States",130322
"New Orleans, LA, United States",389617
"New Rochelle, NY, United States",79846
"New York City, NY, United States",8175133
"Newark, NJ, United States",281944
"Newmarket, ON, Canada",74295
"Newport Beach, CA, United States",87127
"Newport News, VA, United States",182385
"Newton, MA, United States",88817
"Niagara Falls, ON, Canada",82000
"Nicolás Romero, Mexico",281799
"Nogales, Mexico",212533
"Norfolk County, ON, Canada",60847
"Norfolk, VA, United States",246393
"Norman, OK, United States",120284
"North Bergen, NJ, United States",63484
"North Charleston, SC, United States",108304
"North Las Vegas, NV, United States",234807
"North Little Rock, AR, United States",66504
"North Miami, FL, United States",62435
"North Peoria, IL, United States",113004
"North Port, FL, United States",62345
"North Richland Hills, TX, United States",69204
"North Stamford, CT, United States",121230
"North York, ON, Canada",636000
"Norwalk, CA, United States",107140
"Norwalk, CT, United States",88485
"Nuevo Laredo, Mexico",373725
"O'Fallon, MO, United States",85040
"Oakland, CA, United States",419267
"Oakville, ON, Canada",165697
"Oaxaca, Mexico",255029
"Oceanside, CA, United States",175691
"Ocotlán, Mexico",83769
"Odessa, TX, United States",118968
"Ogden, UT, United States",85444
"Ojo de Agua, Mexico",242272
"Oklahoma City, OK, United States",631346
"Olathe, KS, United States",134305
"Omaha, NE, United States",443885
"Ontario, CA, United States",171214
